[rl] Using Torch backend
INFO:train.py:Using configuration: banana
INFO:train.py:Using seed = 0
INFO:train.py:Running in headless mode
DEBUG:unityagents:The true file name is Banana
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 37
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
INFO:root:Checkpoint dir : checkpoints/banana
DEBUG:simulator.py:[Training 148/1000 episodes] ε: 0.4786, Best: 1.86, Avg: 1.86, Steps: 300
DEBUG:simulator.py:[Training 149/1000 episodes] ε: 0.4762, Best: 1.86, Avg: 1.85, Steps: 300
DEBUG:simulator.py:[Training 150/1000 episodes] ε: 0.4738, Best: 1.89, Avg: 1.89, Steps: 300
DEBUG:simulator.py:[Training 151/1000 episodes] ε: 0.4715, Best: 1.96, Avg: 1.96, Steps: 300
DEBUG:simulator.py:[Training 152/1000 episodes] ε: 0.4691, Best: 1.98, Avg: 1.98, Steps: 300
DEBUG:simulator.py:[Training 153/1000 episodes] ε: 0.4668, Best: 2.07, Avg: 2.07, Steps: 300
DEBUG:simulator.py:[Training 154/1000 episodes] ε: 0.4644, Best: 2.07, Avg: 2.06, Steps: 300
DEBUG:simulator.py:[Training 155/1000 episodes] ε: 0.4621, Best: 2.12, Avg: 2.12, Steps: 300
DEBUG:simulator.py:[Training 156/1000 episodes] ε: 0.4598, Best: 2.13, Avg: 2.13, Steps: 300
DEBUG:simulator.py:[Training 157/1000 episodes] ε: 0.4575, Best: 2.15, Avg: 2.15, Steps: 300
DEBUG:simulator.py:[Training 158/1000 episodes] ε: 0.4552, Best: 2.16, Avg: 2.16, Steps: 300
DEBUG:simulator.py:[Training 159/1000 episodes] ε: 0.4529, Best: 2.20, Avg: 2.20, Steps: 300
DEBUG:simulator.py:[Training 160/1000 episodes] ε: 0.4507, Best: 2.20, Avg: 2.17, Steps: 300
DEBUG:simulator.py:[Training 161/1000 episodes] ε: 0.4484, Best: 2.20, Avg: 2.18, Steps: 300
DEBUG:simulator.py:[Training 162/1000 episodes] ε: 0.4462, Best: 2.20, Avg: 2.19, Steps: 300
DEBUG:simulator.py:[Training 163/1000 episodes] ε: 0.4440, Best: 2.20, Avg: 2.19, Steps: 300
